gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
ABCC10,6301,4036,7160,1214,8151,8092,5090,4167.5,6695.5,3039,1276,8233,1363,3018,938,3465,2053,5334,2026,2392.5
ABCC4,6457,1575,1963,6887,3110,7780,812.5,5000,7742,226,312,4394,473,5334,2683,8005,1530,6501,72,113
ABCC5,6298,486,594,5121,7857,8135,3604,4473,7893,233,292,7339.5,598,3458,3564,7668.5,493,7255,173,109
ABCD1,5094,5538,5056,1299,2873,4933,6551,3274,7104,5192,6168,3187.5,2254,1979,8223,5109.5,6478,4464.5,5273,7185
ABCD3,6035,183,8074,344,2934,2838.5,8010,7481,586.5,2497,6269,5979,6986,2886,8241,809,4652,6421,5452,7161.5
ABCD4,7977,1818,7208.5,6166,7847,7416,7619.5,7608,4899,1791,5526,8076,1286,1358,3316,2585,2466,6801.5,1918,3898
ABCE1,6453.5,5673,3431,4681.5,2544,3890.5,2123,3456.5,1922,4750,2217,1713.5,1285,7377,4609.5,5252,3887,2018,4433.5,6619
ABCF1,4558,6189,401.5,6757,1713,3267,5099.5,1665,4111,5474,1989,390,1180,3242,1576,5278,6783,287,8106,8106
ABCF2,5475,7418,133,7937,543,2068,3274,868.5,841.5,1233,1679,1197,823,4032.5,1141,5029,6096,141,8184,8092
ABCF3,5003,4761,4046,7790,1609,2538.5,2850.5,3309,2423.5,7737,6232,2362.5,2833,6966,4264,6413,6086,431,2217,8077.5
ABHD10,3209,4417,7643,2225,112,189,7513,4723.5,1099,5298,7748,4539,7777,667.5,7973,1322,2898,7032,4092,6634
ABHD11,755,2434,8137,332,1858,1556,8166,3151.5,2728,4072,8237,4245.5,8214,1272,7808,2248,6740,8201,3006,5498.5
ABHD12,5920,2128,7334,90,6894,3677,7717,7035,2809,4209,6954,7819.5,6491,1284.5,6869,6297,2681,6362,5601,6599
ABHD14B,3016,7889,1833,2777,7710,5800,5403,5993,1587,5153,5693,2392,2277,6077.5,2209,5161,6991,4044.5,2003,4770
ABHD16A,6442,1168,7861.5,130,3244,1853,8218,7342,2409.5,2913.5,7373,7472.5,7406,2413.5,7216,4322,6097,8052.5,3208,3524
ABHD17A,7806,2504,481,5442.5,7322,6064,251,1480,512,105,77,6190,415,7823.5,908,5102.5,1661,2544.5,4324,3070.5
ABHD17B,6272,444,4358,2168,7664,6708,1124,3379,2909.5,187,73,7639,697,5402,4584,5812,77,4385.5,356,147.5
ABHD18,706,6839,4695,1518,6442,3752,3028.5,4554,2857,4576,7217,2314.5,7815,1442,1242,2373,6850,1173,6652,7423.5
ABHD4,1827,4901,3740.5,4394,4880,2811,5049.5,4557,1763,3400,5042,233,6498,2684,1249,5591,3225,3526,4455,4915.5
ABHD5,5417,4819,6583,30,4816,4558,2942,3318.5,7176,5617,6577,5685,2970,3373,5847,7039.5,7482,2382.5,6240,2837.5
ABHD6,6937,1085,7753.5,4645,6597,1338.5,7829,7269,2780.5,5096,6358,7196,7087,3842,6817,2403,1969,7994,3689,3996.5
