gene_symbol,14-3-3,actin,autophagosome,centrosome,endo_lysosome,endosome,ER,ER_Golgi,Golgi,HSP70 chaperone,HSP90 chaperone,lysosome,mitochondria,p-body,peroxisome,plasma membrane,proteasome,recycling endosome,ribosome,stress granule
FAR1,6512,80,6968,293,3126,5056.5,7566,7161,901,2486,6977,7365,6885,5735,8244,1261.5,4076,6402,2336,6125
FAR2,3341,1052,5646,5583,5056,4011.5,8184,6556,459.5,2155,4749,5981,7145,1287,8183,3952,2461,6913,2383,7165.5
FARP1,6153,5023,4725.5,6933,513,4443.5,1967,1418.5,5810,2180,1294,4281,5339,4807,7199,8096,1957,6695.5,1026,543
FARP2,3279,7007,4758,6947.5,1827,2564,2218,315,5926,704,1387,1134,371,4783.5,7024,8193,1860,5597,2131,1008
FARS2,968,4219,8242,683,1247,4017.5,6908,6679,46,4386,8195,5098.5,8158,1626,7875,1548,2684,8199,2098,5809
FARSA,6190,7905,1996,7553,3191,213.5,567,1274,199,6568,1392.5,1007,334,8188,1305,4038.5,5167,3,8171,7963.5
FARSB,1971,3190,4147,5307,46,594,6426,799,4311.5,4002,6115,1575.5,7046.5,5900,5838,5657,480,635.5,8089,7908
FAS,2684,7266,4189,839,5626,2340.5,1245,3267.5,4889,4394.5,2657,4206,6433,7018,472,7601,6058,5484,1577,1200
FASN,2916.5,4939,830,6970,2234,1134,143,2554,3275,7711,1843,6938,716,7064.5,6986,7067.5,5550,4509,197,717
FASTKD1,1864,3562,7756,297,2418,1014.5,8178,547,1557,2939,8169,4294,8224,4359.5,5073,1622,4513,5371.5,3288.5,6792
FASTKD2,3547,2276,7895,540,1181,690.5,8153,2832,2626.5,4972,8113,4196.5,8134,1299,8189,1074,7411,7535,4631,7186
FASTKD3,1884,6225,6477,3663,2387,2291,7338.5,2192,1429.5,6583,7931,6429,8159,940,1064,2652,3974,4207.5,6074,4325
FASTKD5,1856,3244,7938,1630,1705,582,8108,3126,3653,2283,8089,4740.5,8128,2312,7937,1270,2712,8058.5,3902,3037
FAT1,5042,7590,4059,7192,5308,7673.5,6964,6449,3200.5,1367,2985,5160.5,2830,2247,6001,7012,2401,2889,5035,3135
FAU,3521,5870,4054.5,3054,2242,719,4188,211,143,3737,5388,2710,7103,7033.5,5526,864,7828,881,7855,8040
FBF1,2497,2459,3568.5,6103,1510,2574,3115.5,1889.5,7663,6324,6134,1625.5,4409,909,4620,4449,2860,2624.5,7180,6462
FBL,585,1754,4410,7043,2406,2759.5,5126,3295,7119,6339,4132,438,2781,3510,6535,1698,445,3729,6350,2698.5
FBLIM1,1472,4382,4624,4995,6640,6850,3641,2900,4723.5,5044,3884,6708.5,6739,7366,3780,3462,6124,4387,6341,2069
FBLL1,2868,1234,6162,4509,2021,1017,6390.5,1593,444,926,7227,3371,7501,5464.5,2258,995,2433,15,7312,6921
FBLN1,2449,820,1897,7370,5631,3189,5128,7767,6677,933,1364,4362.5,3636,4490,65,263,774,5924,1168,2800
FBN2,1825,4066,7416.5,1655,5597,2333,8222,7734,5826,1711,5615,5086,7198,1374,3443,4316,2036,4466,6332,4304.5
FBRS,2818,676,5890,2158,161,4208.5,5415.5,2449,4380,4628,5757,4087.5,5855,4620.5,2693,5738,7253,5023.5,2147,1804
FBRSL1,6115,4407,1356,3551,7007,4486,2865,6501,3961,8087,1462,1600,989,1237.5,4708,4767,5519,6110,2241,1294
FBXL12,3609,7863,5856,3511,492,1223,3771.5,3229,697.5,1376,6167,3829.5,5363,7072,2031,6195.5,6173,4573,2532,1706
FBXL15,6176,1684,2077,4503,6696,1747,1465,5388,7847,8061,4603,4603,4032,6261.5,5540,2841,6972,5208.5,5338,3789
FBXL18,7588,5106,5095,1140,7145,3533.5,4699,4103,4236.5,2300,1409,4478,1470,6310,2205,6137,4151,1230,2807,4120.5
FBXL19,4733,7295,2044,2009,4772,4542.5,1442,6543,6505.5,2069,5786,319.5,6648,3540,4458,4391,4960,5307.5,4580,3483.5
FBXL20,7849,1060,6173,4764,6933,7631.5,7144,7672,5620,644,4024,7782,6576,4715,6575,7778,372,4873.5,151,55
FBXL3,4947,7615,2314,2833,6671,6382,4408.5,3653,2810,7356,2820,3652.5,4255,5926,1523,5169.5,3853,1960.5,4020,2954
FBXL4,5288,4785,4065,1810,2662,6181.5,1065,6892,5307.5,6487,7842,4745.5,8023,2201.5,2650,2657.5,6682,885.5,6286,5596.5
FBXL8,1493,4217,5559,1621,1071,5844.5,5940,3140,1646,5284,3059,504,6397,4050.5,6330,2952,3707,7215.5,5621,5907
FBXO11,2381,3506,1078,8152,3367,3170.5,5744,3278,3615,1892,2873,3841.5,4280,7562.5,1329,6841,3510,1495,7662,7876
FBXO17,2855,7222,4102,1445,6722,2147.5,2677.5,1726,5940,5789,1853,591.5,5503,7729,3203,7416,6051,2225.5,4913,4426.5
FBXO21,4007,4070,954,7658,1022,6715.5,259,5311,3814,4200,1526,690,6144,6999.5,3945,4871,2079,1232.5,2478,2293
FBXO22,5545,4451,5267.5,3470,1897,5794,2533.5,4507,515.5,1443,3058,5007,1598,7733,4060,4466,5885,2325.5,5658,3192
FBXO28,6029,4989,4633,6497,4146,4066.5,5534,7420,8086,2646,2612,3206,1380,3856,4413,2321,1514,5266.5,7240,5166.5
FBXO3,1424,6911,3806,675,6019,7429,2604.5,2809,6138.5,2027,5873,2974.5,6545,5587.5,1975,3674,2950,5201,7257,7156
FBXO30,1396,8234,2906.5,4164,3238,2065,2928,4454,4853,7969,6273,3710.5,2211,2006,7422,3105.5,7558,2858,5002,1868
FBXO38,4278,2513,6112,3383,3477,2063.5,6627,4907.5,6372,5546,7055,6153,4305,3790,623,5973,5976,3715,4768,5835
FBXO42,345,7588,4580,4826,5128,4817,4376,4604.5,4309.5,1334,5803,5756.5,4619,5564.5,6621,5539.5,1611,6142.5,1445,4990
FBXO44,6151,4627,2022,4489,6938,5683,3311.5,4779,5705.5,5540,4690,4686,5416,4814,6674,4787,3649,4490,7239,4876
FBXO45,8161,5266,1169,8126,7061,4976,4777.5,5932,2504,4450,2855,6062.5,1710,4316.5,3348,3985.5,4326,1476.5,7328,5109
FBXO46,7932,5940,3020.5,3298,5169,5988,4462,6052,6956,2430,4650,3326,5157,7005,1235,2823,5082,3681,6083,3717
FBXO5,3480,7911,412,8055,1577,3861,79.5,3355,1562.5,6024,1297,134,96,7722.5,1526,1295,6492,650,7266,7496
FBXO7,4735,2823,3865,352,1146,7374,3083,6880,2831,7470,4849,4688,7193,4824,6825,1581,3238,4928,6136,3862.5
FBXO9,7232,4733,4743,1804,3791,3683.5,2776.5,6269,6170,1534,4993,5027.5,1427,6226,4723,4875.5,8100,4825,5565,5567.5
FBXW11,7496,1906,6411,3260,6598,1533,5036,449,2722.5,2440,2906,648,1236,8209,7126,6718.5,3962,865.5,7202,2428.5
FBXW2,4460.5,4021,3550,1922,1997,3750,5322.5,7542,2140,5957,3431,5378.5,5146,2386,5119,2803,6723,5177,5986,2314
FBXW4,4484,2511,2334.5,7860,4337,5380,3573,2088,2188,5493,2668,5671,4186,2786,458,4801.5,6160,4117,7685,7344.5
FBXW8,7513,5573,1246,1424,992,6793.5,3217,7285.5,4586.5,5549,4032,1091,2248,951,3956,6859,6215,514,2224,1969.5
FBXW9,1289,7641,5693,4462,3585,5402.5,6183,3327.5,550,3991,1719,6312,4868,1634.5,1857,3564.5,6255,5452.5,3410,3529
FCF1,7220,7717,362,7632,5408,2547,301,1713.5,1252,876,916,922,635,3930,59,1756.5,7463,869,6837,6694
FCGRT,7171,4018,1936,5202,6744,7235,530,2092,451,430,618,3722,1371,7796,2822,1336,1387,3876,1246,2091
FCHO2,6686,6210,1410,2758,4394,7816.5,4838.5,532,5588,4646,3037,6484,1431,4905,5086,8236,4869,298,3343,2011
FCHSD2,7612,3841,837.5,5055,4462,6757,2143.5,4559,7763,4606,4219,992.5,5591,6001.5,1458,7115,7849,1700,3075,2698.5
FCSK,5474,2754,6225,1944,2701,1949.5,3223,6618,3639,4133,5535,2661.5,1829,974.5,7571,3936,4111,5202,6005,4410.5
FDFT1,6807,11,6752.5,1857,12,2005.5,7380.5,7623,5276,3785,6138,7393,6416,2133,5818,3012,6954,6933,433,452
FDPS,5127,2405,5399,165,4008,1323,6448,198.5,387,6754,7267,5798,7626,5976.5,5741,6669.5,1348,6381,1395,3739.5
FDX1,918,1545,6439,1361,575,2024,7454.5,2165,1001,3476.5,7483,3701,7845,3400.5,7590,896,2098,7839,5671,6876
FDX2,2261,2371,7475,1367,1405,2047.5,7982,2635,1283,1471,7878,5274,8155,35,7761,778,2869,7782,735,1363.5
FDXR,1418,924,7880,3540,1219,1053,7800,2886.5,3754.5,1967,7882,3455,7924,50,7983,755.5,1897,7725.5,5704,6973
FECH,1003,691,7026,3247,682,988.5,7909.5,5718.5,1325.5,2515,7455,4444,7697,151,7788,951,865,7504,3795,6583
FEM1A,3363,3611,1444,7371,5180,6972,4445.5,6651.5,358,1867,5998,2317.5,5319,5365,1910,4361.5,4788,6079.5,7299,1628
FEM1B,5193,1853,3241.5,3007,441,1668,6074,653,1270,669,7817,2742,7729,7968,6780,419,8012,5581.5,4809,5016.5
FEM1C,4774,493,1811,6630,4174,6817.5,4802.5,5957.5,5333,5283,3263,5420,2473,7243.5,6911,5023,7276,4660,6719,1703.5
FEN1,6309,8026,433.5,8011,409,6938.5,204,1469.5,5310,6871,1490,416,249,5705.5,2625,6709.5,4886,292,6584,6726
FERMT2,7768,4607,3295.5,7272,2711,3866,963,5369,5360.5,6714,557,6639.5,1150,6750,6036,7377,278,5407,1489,1867
FEZ2,3529,6831,5228.5,6196,3950,6606.5,1147,5809,1943.5,7080,4729,2128.5,6140,1932,254,1259,7417,1662.5,6979,6065
FGD1,1332,5462,2439,5696,3811,3319,2852,6362.5,5519,1585,5037,3487,5962,3007,3403,2105,4921,2028.5,1599,3420
FGFR1OP2,1203,2015,6805.5,57,6171,6576,7954.5,7452,5062,1514,2078,7868,2015,243,3697,5648,912,8180,2709,2890
FGFR2-AHCYL1,1962,125,4506,4852,7407,6901.5,6888,6540,7333,1253,1420,7722,3540,4546.5,6512,7863,3424,6775,179,84
FH,3499,1137,7620.5,2149,174,139,7282,3117,2124.5,5133,7631,5274,7509,242,7860,1545,2237,7156.5,4609,6562
FHIP1B,4083,2714,3463.5,7660,3562,4905.5,5209,3765,2751,854,3877,5010,1468,7629,1448,3095.5,6356,4978.5,4525,5045
FHIP2A,2474,1928,5584,2658,3152,3338,2834.5,8141,7519,6765,5267,5042,5409,2671,6540,1831,5127,2939,1907,1979
FHIP2B,1739,7244,6150,779,1001,5647.5,1540,1970,3668.5,4403,2092,1137,4175,6314,7540,3445,7668,3308,7150,4197
FHIT,6557,7397,5074,4062,6339,4413,1628,6274.5,289,2060,4315,3548,3261,6159,2255,4225,5837,5946,3168,2198
FHL1,3858.5,8028,1482,5440,2975.5,2361,1842,3874,3811,4257,2951,4567,3308.5,6288,2902.5,7512,2285.5,3149.5,4703,4022
FHL2,925,5306,5041,8205,2954,5095.5,2240.5,1771.5,5935,1611,2212,3430.5,6737,6251,4287,6723,3331,2630.5,5011,5724
FHL3,2931,978,5518,8151,5850,2612,1573,7109,6484,3189,3102,4530,4612,4372.5,2317,3336,6565,3153.5,1633,3021
FHOD1,4277,876,1365.5,5953,448,3857,4320,5094.5,2348,7151,3396,5995,5148,4271,5605,6901,3889,5797.5,2338,993
FIBP,2595,5386,4110.5,2679,3970,852,1420,5210.5,6549,6679,2574,4092.5,4918,7877.5,7254,7867.5,2833,1648,624,1004.5
FIG4,1403,2029,3634.5,2434,8173,8173,1444,1106.5,1875,888,1125,8083,2320,6263.5,4240,4287.5,915,8169,1492,1101
FIGNL1,7481,7980,2827,8218,6511,7694,137,6467,6075.5,7505,2284,810.5,538,5004,661,614,5928,4120,825,2756
FIP1L1,6048,1191,561,6092,1870,748,389,4715,717,237,593,550,795,7354,1594,2538,8038,557,6873,4860
FIRRM,5265.5,4821,4919,3075,4448,4789,1383,5689,1107,6290,5562,2419,4853,5001,4946.5,4836,5586.5,5148.5,3786.5,4940
FIS1,7724,3614,7704,82,5266,4010,5658,6340,3751,6223,7122,5134,6548,2293,5443,331,1907,5924,4595,6800
FITM2,7399,3830,5752.5,1699,35,1375,6694,7629,2465,6178,6316,7984,6724,3511,5509,1608,3584,5051.5,996,2349
FIZ1,6432,6963,1134.5,7853,5207,959.5,965.5,6658,1111.5,2857,3527.5,3380,3839,3988,3107,3316,3600,3377,4346,5312
FKBP10,7587,26,7942,421,3009,406,7315,8174,4467,4574,6596,7837.5,6400,1030,3859,2749,5978,7333,3359,4459
FKBP14,2225,176,6793,55,3807,3582.5,7268,8012,7808.5,3973,6606,7829,2926,1893,5232,3584,3706,8038,1847,2286
FKBP15,3818,607,1191,4600,7850,8116,1034,3316,6088.5,429,145,7480,453,7419,2079,6170,588,7153,40,68.5
FKBP1A,1140,5982,5385,1462,5280,4590,5518,1106.5,1388.5,5304,7161,7082,7074,7553,7215,7780,789,1510,2211,3261.5
FKBP1B,184,4323,1361,5865,3864,6691,6005.5,5299,6597,1177,3841,4524.5,6454,1421,5351,4473,1225,4462.5,3736,6590
FKBP2,6745,140,7988.5,146,6884,440,7715,7539,3049,2466,7003,7616,6876,1424,7477,3543.5,6808,7942,3573,2202
FKBP3,4363,2782,1758.5,6107,1085,3759.5,5876,493.5,3114,3555,1598,2845,4538,5631,5058,5948,1456,2454,8046,7971
FKBP4,5505,7971,319.5,6728,5016,5356.5,518.5,3259.5,3108.5,6034,7995,7218,1081,7140,292,6647,1029,2425.5,1460,3468
FKBP5,3605,7443,3220,3673.5,6950,4264.5,4512.5,2672,3470,5210,7504,4936,1394,1944,5337,5476,5609,3456.5,4201,5073
FKBP7,7651,447,6988,432,7000,821,7898.5,7961,5834.5,3513,6285,7804,6755,2309,2377,3521.5,3877,7675.5,5210,6143.5
FKBP9,3862,3393,7698,456,3642,5957.5,7668,7310,7960,3124,6839,6055,3850,526,3011,2738,1265,7694,567,3545
FKBPL,4096,4567,5984,5234,2666,7074,3478,3483,465,5714,4047,5061.5,7241,3411,1348,4397,7123,1803,6037,3534.5
FKRP,2092,2622,7753.5,2952,2367,1694.5,6726,8044,7957,4508,2888,2612,4941,3487,7111,524,3219,3172,5887,2406
FLAD1,2533,6115,8088,286,1339,671.5,7586,4076,321,4397,8135,3349,7959,7382,6156,1121,4867,6004.5,3634,6688
FLCN,5629,2585,6243.5,1902.5,5649,3264,3186,5530,1437.5,7909,5744,6752.5,3662,6598.5,6379,5051.5,6668,3065,6346,3476.5
FLII,2231,8200.5,3438.5,3673.5,3782.5,5145,1698,1253.5,7160,6821.5,5958,1566,3138,5554.5,5827,7023,3119.5,2080,4281.5,2645
FLJ40629,4293,6635,3480,6123,2550,3738,5584,2521.5,2253,4208,6180,5861.5,1955.5,2661,5423,3821,6563,2248,7212,5902
FLNA,3481,5448,2876,6883,3226,5514,2697,215,7467,1283,690,5770.5,150,6871.5,7574,8145,120,5723,500,878.5
FLNB,5952,733,3447.5,6157,4692,7280,3280,352,7981,1765,488,5879.5,134,3860,6947,8146,23,6034,692,775
FLNC,2457,3083,3497,7089,2756,2615,4455,677,5403.5,6642,6143,1529.5,4900,5626,7834,7672,2834,3720.5,4203,2296.5
FLOT1,5727,3378,6116,4415,7745,7888.5,1993.5,2766,7300.5,346,275,7992,522,2551,3077,7850,60,5990.5,183,234
FLOT2,4653,1813,6470,1931,7513,7766,4003,4187,6417,364,538,7944,1908,2349.5,5675,7851,150,5735,207,328
FLT4,8001,2534,192.5,6102,6965,4141,1228,2308,629,421,495,5130,1840,7554,3854,6417,1049,3653,369,2690
FLVCR1,3067,671,1025,6339,5944,7832,3264,4242.5,7641,209,444,3805,887,4235,5210,7803.5,239,6253,17,60
FLVCR2,3543,6183.5,764,4367,1792,4912.5,1551.5,740,883,3006,2044,2853.5,3877,5895,598,6563.5,4258,2931,5175,3029
FLYWCH1,474,7576,1394,5161,347,7123,4607.5,2118,2574.5,1503,4415,5563,5334,1438,3062,3852,6776,2985,1953,5862
FLYWCH2,7007,5109,580.5,7816,2900,4315,133,2567,3035.5,7820,2708,3494,1089,6665.5,5024,1926,8030,260.5,4585,5234
FMC1,5369,1933,154,1192,1679,3545,6619,431,127,4851,8144,3473.5,7780,2598,7399,2504.5,6076,2373,5162,6267
FMN2,3130,5513,2046,6868,5159,6773,2556,528,7528.5,903,2579,5121.5,1435,3872,3983,7302,2415,3365,2995,1520
FMNL2,5398,5152,3084,7310,2206,7751.5,750,804.5,7543,3715.5,2320,677,5070,4494,7665,6568,2219,6156,834,1964.5
FMR1,5582.5,148,1237,6380,4769,5219,4862,3726,6376,2626,2891.5,1511,3691.5,7821,1929,3217.5,4156,2586,6557,7444
FN3KRP,199,5073,2733,4640,4453,7281.5,4872,5116,1456,2613,3259,4670,6580,3509,5765,4052.5,2065,3703.5,6520,3635.5
FNBP1,5022,6070,2473,1646,3120,6214,1875,6756,4284,4563,3230,2364,6396,7460,4553,6174.5,7415,2368,2835,2470.5
FNBP1L,6384,5150,2920,6450,4407,4057.5,5765,1837.5,3416,6649,5294,513.5,3602,3197.5,1261,7471.5,5667,2044.5,5361,5663
FNBP4,3409,2903,1034,5112,5094,7386.5,3256.5,5765,4653,4149,1569,1602.5,2790,3561,4781,4785.5,5229,511,7798,7642
FNDC3A,7273,167,5952,6453,4281,673,7288,8120,4645,3008,5868,7601,4184,2655,2955,3022.5,2005.5,7455.5,2128,3994
FNDC3B,4804.5,1457,6574,5318,2781,678.5,8225,7783.5,3803,2127,6652,7866,5587.5,391.5,3232,296.5,4525,8076,1069,1983
FNTA,6798,3880.5,3987,6980,5859,2514,2845,2216.5,8009,3117,5429,5410,3908,3759,2764,7587,2907,2458,3266,5304
FNTB,409,5222,2925.5,1753,2064,4784,6155,2852.5,3736,3520,3837,6207,3688,3900.5,4141,5760.5,6412,5310,1959,4446
FOCAD,3166,5532,3924,6601,5523,7010,3108,479,7190,7885,3802,1421,3607,7284,5185,1711,2645,2937,3687,7900
FOXC1,3664,3278,3255,4457,7602,1160.5,4832.5,796,106,7982,1831,1174,5819,6628.5,425,1172,2321,3632,1478,2724.5
FOXD3,3599,5273,5983,3471,5555,5524.5,4102,2369.5,2822,5698,6070,4278,1757,1443.5,2760,4060,6878,4480.5,1485,1670.5
FOXF2,1366,7066,2782,367,7272,4706.5,1046,4877.5,4256,3921,5572,4886.5,3451.5,7454,3586,3408,5960,4651,6910,4963
FOXG1,5588,6029,2093,7703,4948,2946.5,884,5560,1665,5641,1413,1666,4822,6747,1812,3051.5,7333,3911,7473,4972
FOXJ2,6989,1270,4946.5,5022,6822,3527.5,2058,6262,3363.5,2978,3255,5221.5,6461,7346,3221,3850,6226,7024,3117,4381
FOXJ3,2725,5514,2772.5,4454,5436,4366.5,4396,4360,2495,7717,4451,2963,2766,1985,2056,2073,7329,701.5,3869,5365.5
FOXK1,8127,6119,3884,620,5378,4300.5,4986,2693,4574,7974,6238,4718,2616,1919.5,6791,4363,6117,1222,1147,5683
FOXK2,4005,3734,5237.5,1741,6260,3356,3531.5,4687,6220.5,8055,6257,6775,2636,2248,3617,2675,2381,2582,4947,6179
FOXO1,8081,2911,5599.5,92,5167,6675,5078,517,3258,3456,4498,5560.5,2741,4298,3594,5258.5,7960.5,5559,6097,1964.5
FOXO3,8165,1851,4599,3968,4490,3047,5845.5,321,5650,8124,4915,5617.5,1857.5,4315,753,984,5458,1878,6632,5650
FOXO3B,1486,3125,5193,5988,1813,3226.5,393,6907,7626,7408,5906,967.5,5399,5335.5,3898,3090,6487,5904.5,811,1897.5
FOXP1,7559,4361.5,5511,5352,1309,4772.5,2848.5,6215,6190,7573.5,5557,2782,5048,2975,6234,593,5551,1991,3244,7147
FOXP2,326,5693,6461,2443,7589,6445,3513.5,5806,1454.5,4290,5441,1651.5,4267,2330.5,114,3151.5,5255,4157,1882,1995
FOXP4,2336,4395,3261,3799,5421,2893,5664,1098,5819,6439,2639,5713,4390,2339,7303,3858,4375,5686,637,2182
FOXRED1,883,2461,7162,4617,1747,625.5,7412.5,2812,1374.5,6379,7798,1441,7997,6892.5,7364,669,1565,3467,4415,6850.5
FOXRED2,5752.5,1784,8217,995,3015,2523,8033.5,7476,2800.5,5084,7409,7251,7525,124,6893,3543.5,1298,5550,415,1506.5
FPGS,5030,4561,7741,1506,2312,3813.5,5619.5,1482.5,750,7719,8021,3941,8025,3277,5014,3634,3232,4372.5,2435,2738.5
FPGT,170,4260,1411,6917,3447,3932.5,5673,4848,4283,5953,7047,3507,3251,3897.5,740,5190.5,7382,4172.5,6526,3587
FRA10AC1,5138,7906,709,5842,6218,831.5,697,2910.5,56,5440,1513,191,2409,7584,3131,1281,2341,1544,3790,6787
FRAG1,6661,5930,3041,3741,6180,2479.5,4290,7313,7754,3791,3186,3256.5,3515,5935,5330,4498.5,7204,7536,919,1352
FRAS1,6671,3203,6101,1476,7842,5449,7160,6154,3946.5,1996,2019,8184,2575,1794,1015,3162,1615,909,2555,3138.5
FREM2,2670,5630,4740.5,5426,6478,5974,6016,5940,3766,1601,2816,5535,2765,5811,2309,7357,1930,2220,1896,2317.5
FRG1,6021,8079,512.5,6834,3255,1798,1264,1096,120,1410,2685,221,1086,6615,673,1300.5,8159,423,6948,6706
FRMD8,5310,5447,2328,2886,5986,5048.5,1886,2970,3178,1482,4976,1395,5610,7318,1181,7659.5,7210,3843.5,2044,941
FRRS1,6285,1827,384,5922,7119,6774,1222,5526.5,1047.5,500,105,6060.5,1490,7845.5,765,4474,1551,4838,1608,2650
FRS2,5113,5633,237,5478,7789,7490.5,538,12,3952,828,1720,4807,5473,4173,3801,7928,1149,5616.5,934,1540
FRYL,8194,5317,1667,7944,6414,3350,3519.5,3635,621,3181,4243,1300,3947.5,6276.5,3493,7001,3983,2688,3093,2759.5
FSCN1,7920,5629,4376,6524,1376,2455,4435,1673.5,841.5,696,4574,5077.5,5290,7759,6507,7168,378,1987,3411,1343.5
FSD1,1549,7868,530,8020,2317,4347.5,5464.5,5364,3152,7481,5567,3445,5011,7514.5,6354,6188,4501,3031,2844,5639.5
FSTL1,7227,514,5056,4120,6930,264,7326,7849,7530,613,4488,7437.5,3807,3713,2386,1021,771,7434,5843,4834
FTH1,5396,2505,5935,1979,8194,5755,6921,2432,5450,807,1828,8231.5,2912,7810.5,1210,4443,1368,3327.5,2073,4350
FTL,2602,6625,6521.5,3267,8174,2440,6455,4585.5,1026,1904,2040,8106,5683,6544,1577,5640,3337,2584,2942,3812
FTO,7494,7589,3524,930,2726,5748,1263,5470,7205,6790,4721,4354.5,1940.5,2236,7262,5388,2380,937,2680,4534
FTSJ1,5933.5,2867.5,2731.5,3637,7005.5,6744.5,852,2333.5,6337,1226.5,1006.5,3867,2369,6152,4925,7451,3704,3752,1919.5,1812
FTSJ3,1772,1026,1341,7885,363,4731.5,1831,4218.5,4925,689,1249,2328,743,3406.5,852,160,6995,669,7835,7277
FUBP3,1079,264,6716.5,5993,333,1851,5835,507,3828.5,5318,4174,1707.5,1068,8018,6227,4221.5,696,2033.5,6365,8173.5
FUCA1,5750,3387,7502.5,2755,8061,6412.5,5358.5,6421,2255,837,678,8239,5718,4921,4509,5282.5,984,5769.5,1893,4208
FUCA2,6842,502,6808.5,373,7883,5422.5,7174,6758,1359,2123,3083,8053,4837,5714.5,4581,2616.5,680,6756.5,2246,3378.5
FUNDC1,1458,2735,7333,5201,3567,1460.5,7617.5,4438.5,6181,2920,7647,4496,7879,953,6921,2224,1563,7277,6049,6939
FUNDC2,4530,6884,4471.5,126,2091,277.5,6910,6979,3575,5747,7301,5705,7336,2732,7020,1429.5,4662,482.5,6762,7512
FUOM,4854,4422,2670,971,3971,7485,3382.5,4789,4711.5,4005,4511,2722,3749,8039,6415,4403,3924,2376,6381,5061
FUS,287,3620,5917,7575,2306,6292,6121,1300,3676,2656,3106,2394,4984,3627,2843,1181.5,173,2649.5,7730,7968.5
FUT11,3397,3461,8235,1347,4292,2623,8186.5,7628,2218,2590,2899,4122,6833,2678,7509,2251,3606,6263,2260,2872
FUT8,5329,2220,6239,4140,5240,4357.5,5060.5,7323,7770,1935,2592,2281,4106,2769.5,4856,2882,7327,5477,3668,2019
FXN,4969,842,7007,555,438,300,7737,1697,539,5894,7436,6103,7586,870,7872,540,1692,6611,4287,6741
FXR1,5503,2323,1598.5,2855.5,4557.5,5441,3420,3001,7359,4666,3277.5,2486,3598,5772.5,2540.5,4273,2148,3183,4724.5,6826
FXR2,5226,96,1149.5,6959,763,3740,5440.5,5396.5,4838,4364,3246,1856.5,4500,7317,3172,4020,933,1026,7453.5,8240.5
FXYD6,6423,5477,4588.5,6093,272,2964,4022,5027.5,1537.5,550,2405,6573,2455,4346,5612,7579.5,2360,2587.5,259,97
FYCO1,5763,783,6613,4959,8127,8071,6306,4929,2736.5,1029,1599,8166,5387,2490.5,4151.5,5019,1924,6685.5,1293,1897.5
FYN,7136,649,1225,6112,3011,3592,578,4101,1841,57,26,5602.5,248,5972.5,3656,7392,56,4028.5,918,2061
FYTTD1,6699,3295,7661.5,2006,2738,7389.5,4236.5,2757,1886,1741,6989,1416,2310,6832.5,3896,4486,5170,2179,4888,2216
FZD6,3741,3781,4527,577,3010,6400.5,6256,5029,1520,3746,3175,5652.5,4627,2915,3150,6836,6870,6388,2885,1424
G3BP1,1787,3606,432,7511,3438,4181.5,4005.5,1455.5,5964,2739,3056,1659,3696,5622,1158,4102.5,5269,2453,7784,8207
G3BP2,3277,648,343,6137,2384,4338,5554,1888,5371,4446,2758,1596,4359,2769.5,3629,5549.5,6414,1549,7964,8231
G6PC3,1702,4767,8000.5,4633,2118,4263,6360.5,7564,6709,2281,6441,6540,3214,2576,7027,6817,3447,4827,580,1537
G6PD,2899,3987,6108,2728,2805.5,2878,6496,6736,4910,4467.5,6476,5844,6229.5,2702,7838.5,6620,3630,4179,5280,5864
GAA,7964.5,5729,7551,2699,7891,4954,6687,6285,282.5,611,679,8188,4881,7344.5,5720,6884.5,226,4725,1657,678
GAB1,3771,4961,905,7542,3552,3611.5,1672.5,93,6735.5,6646,2464,502,2863,3866,3376,7353.5,1862,4643,2723,1724
GAB2,2591,3048,6609.5,5073,2508,6615,1083,3170,5852,5162,4056,838.5,6452,5703.5,5842,4073,4722,5873.5,3992,3035
GABARAP,3837,3209,4543,936,8219,5384,3485,5192,4808,2458,2381,7445.5,2950,3638.5,4822,3435,3117,4286,909,2984
GABARAPL2,5620,626,6392,6369.5,4699,7355.5,6415,3204.5,3830,2354,2913,7972,5803,5709,5558,7171,832,5838,260,849
GABPA,2813,2232,5061,5596,4130,3704,2807.5,5137.5,7796,7607,1101,2026.5,5900,3726,3054,243,2967,5587,4064,5352
GABPB2,1109,5012,2663,3801,7046,7682,2986,2731,5215,2547,4290,5804,5764,1834,5659,4458.5,3631,2263,2714,5213
GABRA1,2911,7043,4264,2104,1177,5689,2884,648,208,5849,3646,4458,4352,3138,5325,3112,5746,4263,5668,5657
GADD45GIP1,1958,1952,6627,4169,92,93,7088,4195.5,2224,1719,7366,2480,7672,1967,7385,953,1654,7209,3522,4317
GAK,7047,1888,4415.5,3931,7993,6736.5,276,4146.5,3790.5,7399,1410,6232.5,2611,5908,2978,6790.5,1363.5,5016,474,157
GALC,3413,3906,6137.5,271,8186,4502,3052.5,78,639,4008,1934,6780.5,2650,5329.5,956,5894,6735,1437,2408,5791.5
GALE,6241,7812,1222,1819,2155,6996.5,6046,4814,6445.5,2516,1780,1681,6076,3496,4831,5765,5907,5288,4819,3655
GALK1,6358,5134,6916,4040,3691,2890.5,1713.5,3773,2328,5861,3345,2442,6061,8081,6819,6046.5,4791,2320,3128,1517
